source_name
Julio Enciso
Kaoru Mitoma
Simon Adingra
Yankuba Minteh
Georginio Rutter
João Pedro
Billy Gilmour
Yasin Ayari
James Milner
Carlos Baleba
Jack Hinshelwood
Lewis Dunk
Jan Paul van Hecke
Joël Veltman
Jason Steele
Bruno Fernandes
Scott McTominay
Marcus Rashford
Alejandro Garnacho
Amad Diallo
Antony
Mason Mount
Joshua Zirkzee
Kobbie Mainoo
Casemiro
Diogo Dalot
Lisandro Martínez
Harry Maguire
Matthijs de Ligt
Noussair Mazraoui
André Onana
Son Heung-min
Wilson Odobert
Richarlison
Brennan Johnson
James Maddison
Lucas Bergvall
Yves Bissouma
Archie Gray
Dejan Kulusevski
Pape Matar Sarr
Destiny Udogie
Djed Spence
Micky van de Ven
Cristian Romero
Pedro Porro
Guglielmo Vicario
Dominic Calvert-Lewin
Beto
Dwight McNeil
Jack Harrison
Jesper Lindstrøm
Abdoulaye Doucouré
Iliman Ndiaye
Idrissa Gana Gueye
Harrison Armstrong
Tim Iroegbunam
Vitaliy Mykolenko
Michael Keane
James Tarkowski
Roman Dixon
Jordan Pickford
Rodrigo Muniz
Raúl Jiménez
Alex Iwobi
Adama Traoré
Tom Cairney
Emile Smith Rowe
Harry Wilson
Saša Lukić
Andreas Pereira
Harrison Reed
Antonee Robinson
Calvin Bassey
Issa Diop
Kenny Tete
Bernd Leno
Jamie Vardy
Stephy Mavididi
Bobby Reid
Jordan Ayew
Facundo Buonanotte
Oliver Skipp
Victor Bernth Kristiansen
Kasey McAteer
Wilfred Ndidi
Harry Winks
Abdul Fatawu Issahaku
Wout Faes
Jannik Vestergaard
James Justin
Mads Hermansen
Jean-Philippe Mateta
Eberechi Eze
Odsonne Édouard
Ismaila Sarr
Jefferson Lerma
Daichi Kamada
Adam Wharton
Tyrick Mitchell
Daniel Muñoz
Chadi Riad
Marc Guéhi
Chris Richards
Jeffrey Schlupp
Dean Henderson
Michail Antonio
Aaron Wan-Bissaka
Mohammed Kudus
Jean-Clair Todibo
Lucas Paquetá
Tomáš Souček
Edson Álvarez
Jarrod Bowen
Guido Rodríguez
Emerson Palmieri
Aaron Cresswell
Max Kilman
Konstantinos Mavropanos
Vladimír Coufal
Niclas Füllkrug
Alphonse Areola
Erling Haaland
James Mcatee
Jeremy Doku
İlkay Gündoğan
Sávio
Jack Grealish
Kevin De Bruyne
Matheus Nunes
Bernardo Silva
Mateo Kovačić
John Stones
Rico Lewis
Joško Gvardiol
Rúben Dias
Manuel Akanji
Ederson
Liam Delap
Ali Al Hamadi
Sammie Szmodics
Marcus Harness
Massimo Luongo
Jack Taylor
Sam Morsy
Omari Hutchinson
Conor Chaplin
Leif Davis
Jacob Greaves
Luke Woolfenden
Axel Tuanzebe
George Edmundson
Ben Johnson
Arijanet Muric
Ben Brereton
Adam Armstrong
Samuel Edozie
Joe Aribo
Charlie Taylor
Flynn Downes
William Smallbone
Tyler Dibling
Kyle Walker-Peters
Yukinari Sugawara
Cameron Archer
Jack Stephens
Jan Bednarek
